epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.8052,1.44339,1.3317,1.54171,0.77087,0.5775,0.67079,0.35928,1.43409,1.3869,1.77262,0.000332051,0.000332051,0.0671269
2,177.561,1.35389,1.07967,1.45801,0.6585,0.59579,0.63333,0.34367,1.52853,1.30769,1.83654,0.00065221,0.00065221,0.0341137
3,263.958,1.32677,1.04643,1.44113,0.71013,0.64784,0.68699,0.38241,1.38291,1.21683,1.6571,0.000959169,0.000959169,0.00108737
4,349.06,1.29047,0.98333,1.41049,0.76995,0.71096,0.76081,0.45694,1.2498,0.96681,1.49799,0.0009406,0.0009406,0.0009406
5,435.911,1.24883,0.91119,1.37923,0.81085,0.75415,0.81808,0.50855,1.20176,0.85147,1.47689,0.0009208,0.0009208,0.0009208
6,521.691,1.21095,0.88969,1.35591,0.86574,0.7464,0.82743,0.5239,1.15366,0.75465,1.41912,0.000901,0.000901,0.000901
7,607.914,1.19621,0.85176,1.34551,0.82362,0.71539,0.78329,0.50162,1.17716,0.8213,1.46326,0.0008812,0.0008812,0.0008812
8,694.079,1.1672,0.82639,1.33547,0.87721,0.76966,0.84695,0.53396,1.14384,0.75791,1.38837,0.0008614,0.0008614,0.0008614
9,779.553,1.13877,0.78856,1.3118,0.87838,0.77585,0.84714,0.54204,1.134,0.69182,1.39978,0.0008416,0.0008416,0.0008416
10,865.663,1.14291,0.77984,1.3098,0.87885,0.78959,0.85609,0.5697,1.07238,0.68839,1.33857,0.0008218,0.0008218,0.0008218
11,950.297,1.11204,0.74762,1.29011,0.86135,0.81179,0.8617,0.56224,1.11351,0.68451,1.37481,0.000802,0.000802,0.000802
12,1036.69,1.09784,0.73684,1.2807,0.86265,0.78959,0.85059,0.57104,1.06597,0.62991,1.35208,0.0007822,0.0007822,0.0007822
13,1120.5,1.09593,0.7102,1.27343,0.88083,0.78581,0.8539,0.57915,1.03343,0.65213,1.3364,0.0007624,0.0007624,0.0007624
14,1205.79,1.07827,0.69691,1.26058,0.87657,0.80842,0.86899,0.58466,1.04848,0.62082,1.32724,0.0007426,0.0007426,0.0007426
15,1290.19,1.07791,0.68585,1.25463,0.84964,0.81174,0.8477,0.57416,1.04094,0.60528,1.31608,0.0007228,0.0007228,0.0007228
16,1374.55,1.05181,0.68191,1.25242,0.90901,0.81949,0.88281,0.60061,0.98677,0.56756,1.28357,0.000703,0.000703,0.000703
17,1458.49,1.03389,0.65521,1.24123,0.88415,0.81063,0.87591,0.60492,1.00959,0.5701,1.30451,0.0006832,0.0006832,0.0006832
18,1544,1.03403,0.64764,1.22997,0.89141,0.82946,0.88882,0.60979,0.99114,0.56313,1.27029,0.0006634,0.0006634,0.0006634
19,1629.84,1.02603,0.64817,1.22961,0.90769,0.81506,0.885,0.61357,0.98061,0.55307,1.2772,0.0006436,0.0006436,0.0006436
20,1715.25,1.01751,0.61727,1.21793,0.86002,0.84369,0.86586,0.59732,0.99325,0.55738,1.27238,0.0006238,0.0006238,0.0006238
21,1802.96,0.99748,0.61148,1.2056,0.89663,0.81063,0.87249,0.6036,0.9908,0.56663,1.27494,0.000604,0.000604,0.000604
22,1886.55,1.00157,0.61272,1.21027,0.90027,0.8505,0.88689,0.61681,0.97335,0.52439,1.25273,0.0005842,0.0005842,0.0005842
23,1972.14,0.99246,0.60079,1.20283,0.90297,0.83167,0.89525,0.6185,0.98028,0.52852,1.25892,0.0005644,0.0005644,0.0005644
