epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3368,0.87864,1.31395,1.23527,0.88956,0.77019,0.85789,0.64754,0.9133,1.0704,1.37999,0.000327273,0.000327273,0.0676
2,47.479,0.80665,0.68547,1.14355,0.83869,0.86853,0.92516,0.68822,0.83761,1.55872,1.39583,0.000654066,0.000654066,0.0345935
3,70.3842,0.79424,0.67084,1.14084,0.6833,0.87251,0.7944,0.52631,1.14148,1.29399,1.60122,0.000974259,0.000974259,0.00158032
4,89.1871,0.82147,0.70925,1.17036,0.84568,0.89514,0.93881,0.69042,0.93754,0.85502,1.38602,0.0009703,0.0009703,0.0009703
5,107.863,0.8187,0.67977,1.16182,0.83182,0.86704,0.93979,0.71587,0.85987,0.73828,1.27869,0.0009604,0.0009604,0.0009604
6,128.373,0.78327,0.63586,1.14214,0.95638,0.96078,0.98904,0.76425,0.79985,0.64345,1.25279,0.0009505,0.0009505,0.0009505
7,147.916,0.74955,0.62092,1.11991,0.96524,0.96813,0.98993,0.80378,0.7074,0.57892,1.1505,0.0009406,0.0009406,0.0009406
8,166.92,0.75261,0.59215,1.1005,0.92272,0.88845,0.96197,0.77073,0.71346,0.69404,1.1728,0.0009307,0.0009307,0.0009307
9,186.526,0.71306,0.59316,1.08556,0.96062,0.97193,0.99184,0.79253,0.74908,0.54219,1.19047,0.0009208,0.0009208,0.0009208
10,205.701,0.73747,0.56634,1.10475,0.98773,0.9621,0.99243,0.79025,0.71641,0.49924,1.13591,0.0009109,0.0009109,0.0009109
11,224.433,0.71755,0.54091,1.0878,0.97217,0.98406,0.99309,0.82187,0.66041,0.43894,1.0922,0.000901,0.000901,0.000901
12,245.091,0.70297,0.527,1.08458,0.96487,0.98008,0.99284,0.82149,0.65847,0.44264,1.09553,0.0008911,0.0008911,0.0008911
13,264.578,0.68087,0.5111,1.05573,0.98315,0.92993,0.9838,0.7991,0.72223,0.5186,1.1605,0.0008812,0.0008812,0.0008812
14,283.075,0.72074,0.52597,1.09077,0.95992,0.95424,0.98748,0.78897,0.71282,0.5034,1.16128,0.0008713,0.0008713,0.0008713
15,301.565,0.70531,0.5152,1.0765,0.98802,0.98533,0.99382,0.84509,0.60949,0.38958,1.07396,0.0008614,0.0008614,0.0008614
16,321.718,0.70249,0.52194,1.07308,0.97705,0.95618,0.99181,0.83333,0.62431,0.4761,1.08133,0.0008515,0.0008515,0.0008515
17,340.14,0.66955,0.50425,1.05507,0.98033,0.99264,0.9946,0.84879,0.58901,0.40009,1.03041,0.0008416,0.0008416,0.0008416
18,358.301,0.67738,0.49015,1.07277,0.98008,0.98004,0.99405,0.8474,0.60617,0.42051,1.06272,0.0008317,0.0008317,0.0008317
19,376.598,0.67077,0.48102,1.05515,0.97154,0.98805,0.99299,0.85589,0.59339,0.37326,1.05926,0.0008218,0.0008218,0.0008218
20,396.572,0.64567,0.44701,1.05366,0.96781,0.98805,0.99312,0.83091,0.63061,0.40777,1.07077,0.0008119,0.0008119,0.0008119
21,415.146,0.63242,0.45643,1.0437,0.98436,0.96016,0.98591,0.84108,0.6157,0.38808,1.06656,0.000802,0.000802,0.000802
22,434.411,0.63851,0.45657,1.03941,0.97508,0.99203,0.99428,0.83579,0.61111,0.3658,1.08011,0.0007921,0.0007921,0.0007921
23,454.201,0.64209,0.44494,1.04131,0.99048,0.99203,0.99314,0.8577,0.58725,0.36542,1.04649,0.0007822,0.0007822,0.0007822
24,473.973,0.61806,0.43954,1.02866,0.98414,0.98875,0.99391,0.85911,0.56663,0.35774,1.02572,0.0007723,0.0007723,0.0007723
25,492.862,0.62398,0.43294,1.02473,0.97616,0.97887,0.99272,0.86232,0.56037,0.36036,1.02618,0.0007624,0.0007624,0.0007624
26,511.633,0.61554,0.42461,1.02364,0.9925,0.98008,0.99302,0.85474,0.57888,0.3553,1.0392,0.0007525,0.0007525,0.0007525
27,531.564,0.61477,0.43141,1.02579,0.96779,0.95772,0.98564,0.84903,0.55955,0.37712,1.02982,0.0007426,0.0007426,0.0007426
28,550.438,0.59581,0.41939,1.01211,0.97651,0.99374,0.99151,0.86056,0.55599,0.32852,1.01763,0.0007327,0.0007327,0.0007327
29,569.081,0.6136,0.41253,1.02257,0.99599,0.99004,0.99496,0.85113,0.60537,0.33779,1.05721,0.0007228,0.0007228,0.0007228
30,587.93,0.59478,0.41073,1.0213,0.99205,0.99478,0.99198,0.86555,0.56601,0.32382,1.01292,0.0007129,0.0007129,0.0007129
31,607.996,0.58747,0.40384,1.01284,0.99206,0.99499,0.99488,0.86622,0.56039,0.3191,1.01975,0.000703,0.000703,0.000703
32,627.182,0.58216,0.39377,1.02241,0.99599,0.99602,0.99253,0.87689,0.53078,0.32014,0.99919,0.0006931,0.0006931,0.0006931
33,645.827,0.58536,0.4045,1.00327,0.98687,0.99602,0.99476,0.87836,0.54117,0.31568,0.99776,0.0006832,0.0006832,0.0006832
34,665.386,0.57252,0.37865,1.0031,0.99581,0.98805,0.9948,0.85855,0.54482,0.31372,1.00082,0.0006733,0.0006733,0.0006733
35,684.48,0.5744,0.38945,1.01024,0.99134,1,0.99492,0.86344,0.5556,0.31764,1.02093,0.0006634,0.0006634,0.0006634
36,702.591,0.561,0.38343,0.99859,0.99603,0.99838,0.9948,0.86533,0.55022,0.30565,1.00396,0.0006535,0.0006535,0.0006535
37,720.741,0.56652,0.37456,1.00081,0.98417,0.99083,0.98901,0.8613,0.53662,0.31141,1.00064,0.0006436,0.0006436,0.0006436
38,740.77,0.56544,0.38277,0.99878,0.98411,1,0.99099,0.85373,0.57825,0.31859,1.02586,0.0006337,0.0006337,0.0006337
39,759.888,0.54397,0.36422,0.99679,0.98835,0.99203,0.99456,0.87873,0.52997,0.29634,0.99391,0.0006238,0.0006238,0.0006238
40,778.609,0.55984,0.36488,0.99979,0.98416,0.99034,0.99427,0.8747,0.52772,0.32012,0.99429,0.0006139,0.0006139,0.0006139
41,797.137,0.56697,0.36935,0.99687,0.9794,0.99203,0.98959,0.88033,0.51181,0.28471,0.99371,0.000604,0.000604,0.000604
42,817.709,0.54368,0.36243,0.99438,0.98424,0.99534,0.9918,0.87452,0.50759,0.29532,0.97688,0.0005941,0.0005941,0.0005941
43,835.698,0.549,0.36873,0.99694,0.98316,0.98406,0.99346,0.87431,0.53201,0.31186,0.99042,0.0005842,0.0005842,0.0005842
44,853.765,0.54218,0.37497,0.99367,0.99601,0.99548,0.99392,0.883,0.49385,0.27545,0.97053,0.0005743,0.0005743,0.0005743
45,873.148,0.56205,0.3619,1.00608,0.98405,0.99602,0.99212,0.88579,0.50699,0.28765,0.98475,0.0005644,0.0005644,0.0005644
46,891.575,0.54607,0.3534,0.98644,0.98023,0.98778,0.99125,0.8784,0.54612,0.31448,0.99583,0.0005545,0.0005545,0.0005545
47,909.577,0.54626,0.36058,0.99323,0.99527,0.99602,0.99129,0.88721,0.49966,0.27998,0.96906,0.0005446,0.0005446,0.0005446
48,927.957,0.53831,0.35773,0.98657,0.98811,0.99352,0.99101,0.88204,0.4957,0.28572,0.96935,0.0005347,0.0005347,0.0005347
49,947.354,0.51644,0.34159,0.97894,0.98813,0.99528,0.9944,0.88428,0.48766,0.27594,0.95835,0.0005248,0.0005248,0.0005248
50,965.843,0.51069,0.3384,0.97913,0.99202,0.99078,0.99194,0.88745,0.48066,0.28209,0.95643,0.0005149,0.0005149,0.0005149
51,984.191,0.52463,0.33801,0.97944,0.98809,0.99119,0.99431,0.88801,0.4871,0.2867,0.96492,0.000505,0.000505,0.000505
52,1002.62,0.51973,0.33852,0.9799,0.98676,0.99203,0.99443,0.89102,0.49338,0.27529,0.96097,0.0004951,0.0004951,0.0004951
53,1022.28,0.49472,0.32973,0.96398,0.99204,0.99317,0.99327,0.89616,0.4779,0.26943,0.95383,0.0004852,0.0004852,0.0004852
54,1041.48,0.49997,0.33832,0.97419,0.99118,0.99203,0.99355,0.90216,0.47972,0.27156,0.94888,0.0004753,0.0004753,0.0004753
55,1060.44,0.50199,0.33352,0.97346,0.99603,0.99906,0.99313,0.89384,0.49004,0.26385,0.96006,0.0004654,0.0004654,0.0004654
56,1079.65,0.50665,0.3303,0.96883,0.98403,0.9819,0.99442,0.89113,0.49666,0.29225,0.962,0.0004555,0.0004555,0.0004555
57,1099.69,0.4964,0.32438,0.96932,0.9908,0.98008,0.99137,0.89582,0.47622,0.26263,0.95027,0.0004456,0.0004456,0.0004456
58,1118.54,0.50592,0.32631,0.9628,0.99209,0.99991,0.99349,0.89902,0.46685,0.24823,0.95416,0.0004357,0.0004357,0.0004357
59,1137.3,0.51024,0.32897,0.9717,0.99517,0.99602,0.99165,0.88557,0.49316,0.25934,0.97066,0.0004258,0.0004258,0.0004258
60,1156.77,0.48083,0.30986,0.95856,0.98679,0.99203,0.99464,0.89178,0.4841,0.2796,0.96541,0.0004159,0.0004159,0.0004159
61,1176.09,0.47376,0.32032,0.96992,0.99556,0.99602,0.99496,0.90483,0.45551,0.24899,0.94739,0.000406,0.000406,0.000406
62,1194.87,0.47341,0.30598,0.95664,0.99915,0.99203,0.995,0.90301,0.45209,0.24114,0.94681,0.0003961,0.0003961,0.0003961
63,1213.41,0.47433,0.30901,0.95818,0.99552,0.98805,0.99492,0.89945,0.46611,0.24884,0.94144,0.0003862,0.0003862,0.0003862
64,1233.49,0.4734,0.29838,0.95351,0.9917,0.99602,0.99196,0.90376,0.46255,0.25045,0.95128,0.0003763,0.0003763,0.0003763
65,1252.31,0.46644,0.29626,0.95416,0.99568,0.99602,0.99257,0.89436,0.45795,0.24365,0.93991,0.0003664,0.0003664,0.0003664
66,1271.2,0.45278,0.29012,0.94964,0.99563,0.99602,0.99496,0.89722,0.48225,0.23585,0.95093,0.0003565,0.0003565,0.0003565
67,1289.98,0.45185,0.29389,0.94769,0.99446,0.99602,0.9938,0.90783,0.46158,0.23486,0.95005,0.0003466,0.0003466,0.0003466
68,1310.25,0.46205,0.29493,0.95398,0.99601,0.99561,0.99189,0.90596,0.45893,0.23839,0.94419,0.0003367,0.0003367,0.0003367
69,1329.47,0.45982,0.29264,0.95562,0.99555,0.99203,0.99304,0.90739,0.44974,0.23089,0.9482,0.0003268,0.0003268,0.0003268
70,1348.51,0.46446,0.29586,0.95799,0.99287,0.99602,0.99265,0.90388,0.46029,0.23833,0.94468,0.0003169,0.0003169,0.0003169
71,1368.14,0.44743,0.28028,0.93311,0.99205,0.99418,0.9914,0.90178,0.45487,0.23848,0.9395,0.000307,0.000307,0.000307
72,1388.09,0.45886,0.29533,0.95722,0.9874,0.99602,0.99097,0.90103,0.4633,0.24365,0.9515,0.0002971,0.0002971,0.0002971
73,1407,0.45536,0.29183,0.9558,0.99493,0.99602,0.99161,0.90479,0.45442,0.24249,0.94429,0.0002872,0.0002872,0.0002872
74,1425.65,0.44506,0.28077,0.94452,0.99571,0.99602,0.99129,0.90306,0.45236,0.23268,0.93906,0.0002773,0.0002773,0.0002773
75,1445.53,0.43579,0.27906,0.94244,0.9957,0.99602,0.99197,0.90602,0.44136,0.23083,0.93662,0.0002674,0.0002674,0.0002674
76,1464.6,0.4441,0.28313,0.94494,0.99158,0.99602,0.99156,0.89894,0.45748,0.23896,0.93965,0.0002575,0.0002575,0.0002575
77,1483.47,0.43317,0.28721,0.93669,0.9916,0.99602,0.98778,0.90309,0.43599,0.22607,0.93677,0.0002476,0.0002476,0.0002476
78,1502.81,0.41957,0.27265,0.93395,0.99569,0.99602,0.99133,0.91339,0.4316,0.2194,0.92711,0.0002377,0.0002377,0.0002377
79,1522.5,0.40804,0.26978,0.94028,0.99556,0.99602,0.99173,0.91026,0.43895,0.21809,0.92578,0.0002278,0.0002278,0.0002278
80,1540.89,0.42175,0.25648,0.93829,0.99603,0.9997,0.99171,0.90835,0.4392,0.22162,0.93463,0.0002179,0.0002179,0.0002179
81,1558.94,0.40828,0.26493,0.94049,0.99586,0.99602,0.99249,0.90775,0.44497,0.21871,0.94176,0.000208,0.000208,0.000208
82,1577.74,0.41579,0.26803,0.93088,0.99603,0.9999,0.99238,0.91458,0.44115,0.21793,0.93393,0.0001981,0.0001981,0.0001981
83,1596.95,0.41099,0.26536,0.93338,0.99197,0.99203,0.9914,0.91374,0.4384,0.22504,0.93316,0.0001882,0.0001882,0.0001882
84,1615.61,0.40614,0.25516,0.92706,0.99203,1,0.99125,0.91006,0.44369,0.21841,0.93544,0.0001783,0.0001783,0.0001783
85,1634.53,0.40685,0.25444,0.93084,0.99203,1,0.99128,0.91321,0.42565,0.21229,0.92789,0.0001684,0.0001684,0.0001684
86,1655.13,0.40493,0.24464,0.92351,0.99209,0.99978,0.99141,0.91204,0.42873,0.21361,0.92963,0.0001585,0.0001585,0.0001585
87,1674.18,0.39726,0.24391,0.92571,0.99563,0.99602,0.99153,0.91055,0.43575,0.21755,0.93693,0.0001486,0.0001486,0.0001486
88,1692.79,0.39828,0.25615,0.92595,0.99601,0.99565,0.99165,0.91299,0.41905,0.21396,0.92778,0.0001387,0.0001387,0.0001387
89,1711.2,0.38264,0.24329,0.92137,0.99583,0.99602,0.99161,0.91344,0.4225,0.21171,0.92761,0.0001288,0.0001288,0.0001288
90,1730.6,0.38734,0.24305,0.92402,0.99603,0.99963,0.99187,0.9138,0.41929,0.21004,0.92792,0.0001189,0.0001189,0.0001189
91,1749.94,0.33253,0.20285,0.88199,0.99603,0.99973,0.99159,0.91411,0.42739,0.209,0.93027,0.000109,0.000109,0.000109
92,1767.82,0.3156,0.1803,0.86407,0.99571,0.99602,0.99173,0.91133,0.42761,0.21515,0.92885,9.91e-05,9.91e-05,9.91e-05
93,1785.65,0.31585,0.18548,0.87522,0.99564,0.99602,0.99253,0.913,0.42166,0.20868,0.92416,8.92e-05,8.92e-05,8.92e-05
94,1804.8,0.31004,0.17872,0.88063,0.98819,0.9997,0.98916,0.9136,0.41966,0.20716,0.92476,7.93e-05,7.93e-05,7.93e-05
95,1823.45,0.30884,0.18191,0.86688,0.99601,0.99577,0.99153,0.91732,0.41417,0.20339,0.92086,6.94e-05,6.94e-05,6.94e-05
96,1841.89,0.30106,0.17704,0.86538,0.99586,0.99602,0.99118,0.91506,0.41407,0.20081,0.92197,5.95e-05,5.95e-05,5.95e-05
97,1860.13,0.29268,0.17243,0.87201,0.99209,0.99968,0.99118,0.91398,0.40583,0.20182,0.91945,4.96e-05,4.96e-05,4.96e-05
98,1879.56,0.28996,0.17185,0.86111,0.99566,0.99602,0.99125,0.9211,0.40191,0.19809,0.9162,3.97e-05,3.97e-05,3.97e-05
99,1898.21,0.28757,0.16545,0.85685,0.99567,0.99602,0.99133,0.92254,0.39996,0.19897,0.91338,2.98e-05,2.98e-05,2.98e-05
100,1916.32,0.28419,0.16144,0.84981,0.99209,0.99968,0.99133,0.9176,0.39816,0.19648,0.91424,1.99e-05,1.99e-05,1.99e-05
